a,b,c,d,e,N,M,mean_std_pos
1,0.2,0.4,0.1,0.3,400,4,0.052671856668445705
1,0.2,0.4,0.1,0.3,400,4,0.036612642161688844
1,0.2,0.4,0.1,0.3,400,4,0.13115199612331407
1,0.2,0.4,0.1,0.3,400,4,0.16146560893586281
1,0.2,0.4,0.1,0.4,400,4,0.05671118172122298
1,0.2,0.4,0.1,0.4,400,4,0.03259568565362047
1,0.2,0.4,0.1,0.4,400,4,0.2490679855563666
1,0.2,0.4,0.1,0.4,400,4,0.04144129754760742
1,0.2,0.4,0.1,0.4,400,4,0.08994546114671889
1,0.2,0.4,0.1,0.5,400,4,0.5957023678906783
1,0.2,0.4,0.1,0.5,400,4,0.021998880706127565
1,0.2,0.4,0.1,0.5,400,4,0.0528248851240091
1,0.2,0.4,0.1,0.5,400,4,0.07495197621847233
1,0.2,0.4,0.1,0.5,400,4,0.04801397995268647
1,0.2,0.4,0.1,0.6,400,4,0.2342499813508972
1,0.2,0.4,0.1,0.6,400,4,0.029152184635373737
1,0.2,0.4,0.1,0.6,400,4,0.08609575854840645
1,0.2,0.4,0.1,0.6,400,4,0.48415275352459125
1,0.2,0.4,0.1,0.6,400,4,0.04277547098324083
1,0.2,0.4,0.1,0.7,400,4,0.44526944050428524
1,0.2,0.4,0.1,0.7,400,4,0.3415303566898219
1,0.2,0.4,0.1,0.7,400,4,0.19207263979826056
1,0.2,0.4,0.1,0.7,400,4,0.47634610519538356
1,0.2,0.4,0.1,0.7,400,4,0.4320995036419333
1,0.2,0.4,0.1,0.8,400,4,0.11252193529486448
1,0.2,0.4,0.1,0.8,400,4,0.3092555752967359
1,0.2,0.4,0.1,0.8,400,4,0.573064713735757
1,0.2,0.4,0.1,0.8,400,4,0.119722488224448
1,0.2,0.4,0.1,0.8,400,4,0.7143726111351012
1,0.2,0.4,0.1,0.9,400,4,0.45984072175687163
1,0.2,0.4,0.1,0.9,400,4,0.20728817176893813
1,0.2,0.4,0.1,0.9,400,4,0.02263892485870176
1,0.2,0.4,0.1,0.9,400,4,0.2260475854481953
1,0.2,0.4,0.1,0.9,400,4,0.1661947938005499
1,0.2,0.4,0.1,1.0,400,4,0.6480885067434317
1,0.2,0.4,0.1,1.0,400,4,0.7797719668726937
1,0.2,0.4,0.1,1.0,400,4,0.519134253873423
1,0.2,0.4,0.1,1.0,400,4,0.6990090876383773
1,0.2,0.4,0.1,1.0,400,4,0.8067134742203573
1,0.2,0.4,0.1,1.1,400,4,0.6653285172138733
1,0.2,0.4,0.1,1.1,400,4,0.5548051341317031
1,0.2,0.4,0.1,1.1,400,4,0.11398710966948972
1,0.2,0.4,0.1,1.1,400,4,0.6064372673060002
1,0.2,0.4,0.1,1.1,400,4,0.20443682794087797
1,0.2,0.4,0.1,1.2,400,4,0.20925739141817915
1,0.2,0.4,0.1,1.2,400,4,1.0018095113108798
1,0.2,0.4,0.1,1.2,400,4,0.4430121233963805
1,0.2,0.4,0.1,1.2,400,4,1.0944804724855783
1,0.2,0.4,0.1,1.2,400,4,0.9144479351874399
1,0.2,0.4,0.1,1.3,400,4,0.8323429628169264
1,0.2,0.4,0.1,1.3,400,4,0.5112001996099049
1,0.2,0.4,0.1,1.3,400,4,1.0096640158280363
1,0.2,0.4,0.1,1.3,400,4,0.6490289174196271
1,0.2,0.4,0.1,1.3,400,4,0.7103399870871532
1,0.2,0.4,0.1,1.4,400,4,0.7999821170084068
1,0.2,0.4,0.1,1.4,400,4,0.8395834451176618
1,0.2,0.4,0.1,1.4,400,4,0.8638481937950597
1,0.2,0.4,0.1,1.4,400,4,0.8570350759697936
1,0.2,0.4,0.1,1.4,400,4,1.0072630955559603
1,0.2,0.4,0.1,1.5,400,4,0.677715729596751
1,0.2,0.4,0.1,1.5,400,4,0.8684411780000474
1,0.2,0.4,0.1,1.5,400,4,0.7297973912917946
1,0.2,0.4,0.1,1.5,400,4,0.943738746313528
1,0.2,0.4,0.1,1.5,400,4,1.021475636816229
1,0.2,0.4,0.1,1.6,400,4,1.018534806211425
1,0.2,0.4,0.1,1.6,400,4,0.7942415061652404
1,0.2,0.4,0.1,1.6,400,4,1.082513043517553
1,0.2,0.4,0.1,1.6,400,4,1.0402660941709878
1,0.2,0.4,0.1,1.6,400,4,1.0106696679977152
1,0.2,0.4,0.1,1.7,400,4,1.0566502791295536
1,0.2,0.4,0.1,1.7,400,4,0.9587612956405829
1,0.2,0.4,0.1,1.7,400,4,1.0721790837567857
